Ricerca nel catalogo - del 21/01/2020 17:27;;;;;;;;;;
Codice;Ean 13;Titolo;Autore;Editore;Prezzo Copertina;Codice Collana;Collana;Argomento;Linea Prodotto;Disponibilità
881657358      ;9788816573581;A TUTTA BIRRA !                    ;Voltz Christian               ;JACA BOOK                          ;12,00;2608;JACA RAGAZZI                       ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;274
883707194      ;9788837071943;A TUTTA PASTA                      ;Morandi Guja                  ;MONDADORI                          ;14,90;9569;MOND GASTRONOMIA                   ;CUCINA E BEVANDE                   ;Metà Prezzo             1;110
886620571      ;9788866205715;A TUTTO SHAQ                       ;O'Neal Shaquille              ;BALDINI CASTOLDI DALAI EDITORE     ;18,00;2080;BALD LE BOE                        ;BIOGRAFIE                          ;Metà Prezzo             1;30
886040322      ;9788860403223;A UN COMPLEANNO FINITO TRA LE PIUME;Sarfatti Anna                 ;EDT                                ;7,00;5019;EDT  OSCAR DOVE SEI?               ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;390
886073038      ;9788860730381;A UN PASSO DALLA FORCA             ;Del Boca Angelo               ;BALDINI CASTOLDI DALAI EDITORE     ;17,50;2082;BALD I SAGGI                       ;BIOGRAFIE                          ;Metà Prezzo             1;701
880461120      ;9788804611202;A VOI CHE MI MANCATE TANTO         ;Revol Anne-Marie              ;MONDADORI                          ;18,00;901;MOND INGRANDIMENTI                 ;BIOGRAFIE                          ;Metà Prezzo             1;65
888921206      ;9788889212066;A.O.BARNABOOTH IL SUO DIARIO INTIMO;Larbaud Valéry                ;BOOKEVER                           ;14,00;7324;BOKE NARRATIVA                     ;NARRATIVA STRANIERA                ;Metà Prezzo             1;146
881706295      ;9788817062954;A-Z 10 CORSO COMO                  ;Sozzani Carla                 ;RIZZOLI                            ;60,00;7506;RIZZ ILLUSTRATI MODA               ;ILLUSTRATI VARI                    ;Metà Prezzo             1;145
888279273      ;9788882792732;AA AAAM MELAMANGIO                 ;Delessert Etienne             ;MOTTA JUNIOR                       ;13,90;6449;MOJU RIME IN ITALIANO E IN INGLESE ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;185
884526433      ;9788845264337;AAA!                               ;Busi Aldo                     ;BOMPIANI                           ;11,00;2319;BOMP ASSAGGI/PASSAGGI              ;NARRATIVA ITALIANA                 ;Metà Prezzo             1;20
886055313      ;9788860553133;ABACO DEGLI EDIFICI NEL PARCO DEL T;Crotti Sergio                 ;ALINEA EDITRICE                    ;45,00;7699;ALED VARIA ILLUSTRATI              ;ILLUSTRATI VARI                    ;Metà Prezzo             1;26
881706871      ;9788817068710;ABATINO IL PUPONE E ALTRI FENOMENI ;Zara Furio                    ;RIZZOLI                            ;14,00;9982;RIZZ FUORI COLLANA                 ;SPORT BENESSERE                    ;Metà Prezzo             1;155
886648204      ;9788866482048;ABBA                               ;Halling Ingmarie              ;24 ORE CULTURA                     ;35,00;4785;24OR ILLUSTRATI                    ;MUSICA CINEMA SPETTACOLO           ;Metà Prezzo             1;232
881640816      ;9788816408166;ABBANDONARE L'IMPERIALISMO         ;Jaffe Hosea                   ;JACA BOOK                          ;13,00;2607;JACA DI FRONTE E ATTRAVERSO        ;POLITICA SOCIETA'E ATTUALITA'      ;Metà Prezzo             1;81
886508021      ;9788865080214;ABBANDONATI E CONTENTI             ;Schimperna Susanna            ;LEGGEREDITORE                      ;10,00;4365;LEGG NARRATIVA                     ;NARRATIVA ITALIANA                 ;Metà Prezzo             1;122
887972934      ;9788879729345;ABBASSO IL COLESTEROLO!            ;Green Daniel                  ;CORBACCIO                          ;18,60;6549;CORB MANUALI CUCINA                ;MEDICINA E SALUTE                  ;Metà Prezzo             1;181
887133476      ;9788871334769;ABBAZIA DEGLI INNOCENTI (L')       ;Tremayne Peter                ;HOBBY & WORK                       ;15,00;2313;HOWO GIALLO & NERO                 ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;159
882005161      ;9788820051617;ABBIATE PIETA'DI MIO FIGLIO        ;aa.vv                         ;SPERLING & KUPFER                  ;17,00;9113;SPER SAGGI                         ;BIOGRAFIE                          ;Metà Prezzo             1;1373
140952707      ;9781409527077;ABBICCI DELL'INGLESE (L')          ;aa.vv                         ;USBORNE EDIZIONI                   ;6,50;3475;USBO LIBRI CON ADESIVI             ;BAMBINI E CARTONATI                ;Metà Prezzo             1;902
886192947      ;9788861929470;ABBIE                              ;Chandos Dane                  ;ELLIOT                             ;18,50;1034;ELLI RAGGI                         ;NARRATIVA STRANIERA                ;Metà Prezzo             1;127
884401614      ;9788844016142;ABBINAMENTI DOC                    ;Peretti Angelo                ;DEMETRA                            ;7,90;2156;DEME MINUTO PER MINUTO             ;CUCINA E BEVANDE                   ;Metà Prezzo             1;733
883471654      ;9788834716540;ABBRACCIO DELLA NOTTE (L')         ;Kenyon Sherrilyn              ;FANUCCI                            ;12,90;1133;FANU TIF EXTRA                     ;FANTASCIENZA FANTASY               ;Metà Prezzo             1;391
889531303      ;9788895313030;ABBRACCIO DELLE OMBRE (L')         ;Manzini Ester                 ;ASENGARD                           ;13,50;7440;ASEN NARRATIVA                     ;FANTASCIENZA FANTASY               ;Metà Prezzo             1;31
883471752      ;9788834717523;ABBRACCIO DELLE TENEBRE (L')       ;Chance Karen                  ;FANUCCI                            ;12,90;1133;FANU TIF EXTRA                     ;FANTASCIENZA FANTASY               ;Metà Prezzo             1;457
888039334      ;9788880393344;ABC DELL'ACQUARELLO                ;Battaglini Teodorico          ;IL CASTELLO                        ;19,50;3943;CAS  MANUALI                       ;HOBBY E TEMPO LIBERO               ;Metà Prezzo             1;169
884541186      ;9788845411861;ABC DELL'ANTISTRESS                ;aa.vv                         ;SONZOGNO                           ;14,00;690;SONZ MANUALI                       ;MEDICINA E SALUTE                  ;Metà Prezzo             1;5
886018150      ;9788860181503;ABC E D DEGLI SCACCHI              ;aa.vv.                        ;ZELIG                              ;5,80;6456;ZELI VARIA RAGAZZI                 ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;452
886229606      ;9788862296069;ABC PER LA DONNA IN PIENA SALUTE   ;Pope Alexandra                ;MACRO EDIZIONI                     ;12,90;6360;MACR MANUALI                       ;MEDICINA E SALUTE                  ;Metà Prezzo             1;119
883471372      ;9788834713723;ABIGAIL UNA STORIA VERA            ;Abani Chris                   ;FANUCCI                            ;13,00;551;FANU COLLEZIONE VINTAGE            ;NARRATIVA STRANIERA                ;Metà Prezzo             1;622
882004629      ;9788820046293;ABISSO DI CRISTALLO                ;Eddings David                 ;SPERLING & KUPFER                  ;19,00;2177;SPER NARRATIVA                     ;NARRATIVA STRANIERA                ;Metà Prezzo             1;3
884292011      ;9788842920113;ABISSO NERO                        ;Tabor James M.                ;NORD EDITRICE                      ;18,60;642;NORD NARRATIVA                     ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;21
886688216      ;9788866882169;ABISSO SENZA FINE                  ;Slaughter Karin               ;TIME CRIME                         ;4,90;2175;TIME NARRATIVA                     ;GIALLI THRILLER E HORROR           ;Prezzo al Pubblico      1;188
888914518      ;9788889145180;ABITANTI DI HEMSO - IL CAPRO ESPIAT;Strindberg August             ;LA BIBLIOTECA DI REPUBBLICA        ;3,00;3398;BIRE OTTOCENTO STOCK               ;CLASSICI NARRATIVA                 ;Prezzo al Pubblico      1;43
99718586       ;2288807185863;ABITANTI DI HEMSO - IL CAPRO ESPIAT;Strindberg August             ;LA BIBLIOTECA DI REPUBBLICA        ;4,90;4084;BIRE OTTOCENTO                     ;CLASSICI NARRATIVA                 ;Prezzo al Pubblico      1;36
881705561      ;9788817055611;ABITARE A VENEZIA                  ;Molteni Giuseppe              ;RIZZOLI                            ;50,00;2107;RIZZ ILLUSTRATI                    ;ARTE DESIGN ARCHITETTURA FOTOGRAFIA;Metà Prezzo             1;333
881637145      ;9788816371453;ABITARE AUTOGESTITO (L')           ;Turner John F.C.              ;JACA BOOK                          ;16,00;7422;JACA REPRINT                       ;GEOGRAFIA ECOLOGIA                 ;Metà Prezzo             1;111
886055693      ;9788860556936;ABITARE MENO ABITARE MEGLIO        ;Lauda Giovanni                ;ALINEA EDITRICE                    ;20,00;7699;ALED VARIA ILLUSTRATI              ;ILLUSTRATI VARI                    ;Metà Prezzo             1;161
881640832      ;9788816408326;ABITARE NELLA POSSIBILITA'         ;Spadaro Antonio               ;JACA BOOK                          ;24,00;6924;JACA DI FRONTE E ATTRAVERSO CIVILTA;NARRATIVA STRANIERA                ;Metà Prezzo             1;37
888125653      ;9788881256532;ABITARE ON THE ROAD                ;Trivellin Eleonora            ;ALINEA EDITRICE                    ;8,00;7706;ALED ARCHITETTURA E CITTA'         ;ARTE DESIGN ARCHITETTURA FOTOGRAFIA;Metà Prezzo             1;203
881704171      ;9788817041713;ABITARE 50 ANNI DI DESIGN 1961-2011;aa.vv                         ;RIZZOLI                            ;75,00;2107;RIZZ ILLUSTRATI                    ;ILLUSTRATI VARI                    ;Metà Prezzo             1;36
886055443      ;9788860554437;ABITARECOSTRUIRE                   ;aa.vv                         ;ALINEA EDITRICE                    ;15,00;7699;ALED VARIA ILLUSTRATI              ;ARTE DESIGN ARCHITETTURA FOTOGRAFIA;Metà Prezzo             1;18
886715277      ;9788867152773;ABITATORI DELLE TENEBRE (GLI)      ;Spjut Stefan                  ;SALANI CASA EDITRICE               ;18,90;3956;SALA ROMANZI                       ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;425
887694294      ;9788876942945;ABITI E COSTUMI ESOTICI NEL '500   ;Guerin Dalle Mese Jeannine    ;EDIZIONI DELL'ORSO                 ;20,66;7661;EDOR FUORI COLLANA                 ;ARTE DESIGN ARCHITETTURA FOTOGRAFIA;Metà Prezzo             1;89
886411548      ;9788864115481;ABITO DA SPOSO (L')                ;Pierre Lamaitre               ;FAZI EDITORE                       ;16,50;7674;FAZI NARRATIVA RILEGATI            ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;642
888112985      ;9788881129850;ABITUDINE AL SANGUE (L')           ;Lepore Giorgia                ;FAZI EDITORE                       ;18,00;482;FAZI LE STRADE                     ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;372
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
